user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,1分,不佳,景色1,趣味1,性价比1,差到极致??排队三小时上去人挤人，哪哪都埋汰，下来更离谱，换三次电梯，最后一次号称观光电梯，结果脸贴脸电梯里还没电。真是一次极差的体验，我基本不给任何人做评论，真的是够可以,IP属地:上海,,,,,东方明珠差评
M25****586,1分,不佳,景色1,趣味1,性价比1,节假日人多应该有预约时间制,IP属地:浙江,,,,,东方明珠差评
M22****2126,1分,不佳,景色1,趣味1,性价比1,没有做好售后服务，没有管控好配合的旅行社，游黄埔江时间说得不清不楚的！平台说旅行社会联系安排具体的行程，海旅行的打电话时我问具体几点坐船也没说，就回具体的时间会发短信，结果短信无时间，码头没看到接应人，以至于我们在码头等了一个多小时，打电话问是什么舱位也说不清楚！！！就回一句问现场工作人员！,IP属地:江苏,,,,,东方明珠差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,体验差，啥都要按他规定的时间来。而且两个项目之间时间不够，导致东方明珠只逛了一个球。,IP属地:上海,,,,,东方明珠差评
_WeCh****574904,1分,不佳,景色5,趣味5,性价比5,上去排队两小时，参观五分钟，下来排队电梯，下到一半下来继续排队等电梯，什么鬼啊，再也不来了。,IP属地:上海,,,,,东方明珠差评
M38****63,1分,不佳,景色3,趣味1,性价比1,v?g?g?b?v,IP属地:浙江,,,,,东方明珠差评
匿名用户,1分,不佳,景色3,趣味2,性价比2,人很多！物价贵！！！,IP属地:上海,,,,,东方明珠差评
M29****0312,1分,不佳,景色1,趣味1,性价比1,最垃圾的一次体验！比**还恶心。先不说平台是怎么让这种旅行社入住平台的。就这个“天涯旅行社”真够恶心的！从约定的2点40开始集合，在集合那里我就开始询问晚上游船是否能赶上了，如果赶不上我就要换票。还跟我说没问题，肯定能赶上！下午多次致电旅行社人员，跟我说的一切都好商量。现在管都不管了！,IP属地:上海,,,,,东方明珠差评
M34****3433,1分,不佳,景色1,趣味1,性价比1,太差了真心太差了,IP属地:上海,,,,,东方明珠差评
170****866,1分,不佳,景色3,趣味1,性价比1,排队五小时，还没去玩腿都软了，既然容纳不了这么多人，就不要卖这么多票，去哪里的景点也没这么吃相难看，国庆期间千万不要去东方明珠，排队排的你怀疑人生，这辈子都不会再来第二次了，垃圾管理,IP属地:上海,,,,,东方明珠差评
