user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
Wchzhnczd,2分,一般,景色5,趣味5,性价比1,总体评价给2分，服务评价只能给1分了。不说导游水平如何，至少也要专业一点吧？进了大门，选了一个树荫讲了一长段的历史背景。虽然有树荫，毕竟是室外啊，近40度的高温啊！来到天坛，选了远离天坛靠墙的角落。大家围着垃圾桶，听她讲了天坛的相关介绍。讲完，给了大家约10分钟的时间自己上前参观。她自己继续待在阴凉处。天坛游客众多，大家轮流看了一眼就走。看点和讲解完全分离。最终结果就是看过不知道看的啥，听过也不知道听的啥。回到结合点，发现人没到齐。就去旁边的小卖店看了看。离导游不足5米远，而且不过是五分钟的时间。没想到，她居然没点名就走了。给她发消息问她到哪里了也不回复。后来打来电话她已经在回家的路上了。一个劲地解释她不是存心扔下我们的。我说算了我们就自己玩吧。过了一会儿又打电话来，反复要求在电话里给孩子讲解一遍。我谢绝了三次才罢休。其实，我也知道她这么做的目的，我也不想给她带来麻烦，但是点评还要要如实地写。,IP属地:上海,,,,,天坛公园差评
M33****808,2分,一般,景色3,趣味2,性价比1,短信约9：50，9：45不见导游“腾腾”，第一点就耳机出问题而走散，打电话n个不接。直到最后一个点，才回电话。白花了165元(3人)和1个多小时的寻找，这天坛公园人山人海，与天相同的导游旗不止他一面，走在人群中都辨别不出来。不知这个导游怎么天天在此混饭的!,IP属地:北京,,,,,天坛公园差评
M38****5971,1分,不佳,景色1,趣味1,性价比1,不给退款，非常不满意！,IP属地:北京,,,,,天坛公园差评
138****0710,1分,不佳,景色1,趣味1,性价比1,导演都没有找到了，态度差,IP属地:江苏,,,,,天坛公园差评
_WeCh****970760,1分,不佳,景色4,趣味1,性价比1,千万别在网上买这个票，去景点一个人30块钱一张,IP属地:广东,,,,,天坛公园差评
M37****122,1分,不佳,景色4,趣味3,性价比1,开始讲解分发耳麦居然要压身份证（故宫博物院啥的同样讲解没有这样的事情）讲解员给游客讲解不知道是天气太热太晒的原因还是别的，都站在阴凉处给大家讲解连天坛最重要的祈年殿都没有带大家上去讲解（就给大家十分钟时间在祈年殿附近自由拍照）此次北京游最满怀热情的活动最让人失望。,IP属地:上海,,,,,天坛公园差评
M41****1538,1分,不佳,景色1,趣味1,性价比1,一塌糊涂 当然价格在这了,IP属地:江苏,,,,,天坛公园差评
小布丁pudding,1分,不佳,景色4,趣味1,性价比1,导游讲解整体比较无聊，祈年殿是站着讲解，并没有走动，看别的导游都是边逛边讲解的，老人没听完就不想听了。,IP属地:北京,,,,,天坛公园差评
悠哈&奶糖,1分,不佳,景色3,趣味1,性价比1,这个买了根本不给进，还不给退！现场重新买过进的，差评,IP属地:浙江,,,,,天坛公园差评
Winsdon77,2分,一般,景色4,趣味2,性价比1,买的十一点 但只能偶数整点讲解 也没人通知 服务意识很一般很一般,IP属地:新疆,,,,,天坛公园差评
